Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
1,5,48,1,2000,1,12,1
1,5,40,1,2000,1,13,1
1,5,51,1,2000,1,13,1
1,5,48,1,2000,1,18,1
2,5,48,1,2000,1,20,1
1,5,48,1,2000,1,21,1
1,5,48,1,2000,1,24,1
2,5,48,1,2000,1,25,1
1,5,48,1,2000,1,27,1
2,5,40,1,2000,2,10,1
1,5,4,1,2000,2,16,1
1,5,12,1,2000,2,23,1
2,5,48,1,2000,2,23,1
1,5,12,1,2000,2,24,1
1,5,48,2,2000,2,24,1
2,5,48,1,2000,3,1,1
2,2,1,1,2000,3,3,1
2,5,48,1,2000,3,14,1
3,5,6,1,2000,3,15,1
1,5,4,1,2000,3,15,1
1,5,48,1,2000,3,15,1
2,5,51,1,2000,3,16,1
1,5,29,1,2000,3,22,1
2,5,40,1,2000,3,23,1
2,2,1,1,2000,4,14,1
1,5,47,1,2000,4,19,1
2,5,40,1,2000,4,27,1
1,5,5,2,2000,5,2,1
2,5,48,1,2000,5,4,1
1,5,48,1,2000,5,9,1
1,5,48,1,2000,5,11,1
2,5,48,1,2000,5,23,1
1,5,48,1,2000,5,24,1
2,5,40,1,2000,5,25,1
2,5,48,1,2000,5,25,1
3,5,40,1,2000,6,1,1
2,2,1,1,2000,6,2,1
2,5,22,1,2000,6,6,1
2,5,12,1,2000,6,7,1
1,5,40,1,2000,6,8,1
1,5,48,1,2000,6,12,1
2,5,48,1,2000,6,14,1
2,5,40,1,2000,6,15,1
5,5,48,1,2000,6,15,1
1,5,12,1,2000,6,21,1
2,5,48,1,2000,6,22,1
1,5,29,1,2000,6,28,1
5,5,48,1,2000,6,29,1
1,2,51,1,2000,7,6,1
1,5,48,1,2000,7,12,1
1,5,40,1,2000,7,20,1
5,5,48,1,2000,7,26,1
2,5,48,1,2000,8,9,1
5,5,48,1,2000,8,9,1
1,5,40,1,2000,8,10,1
2,5,48,1,2000,8,16,1
1,5,48,1,2000,8,22,1
1,5,48,1,2000,8,23,1
1,5,12,1,2000,8,25,1
1,5,29,1,2000,8,30,1
2,5,48,1,2000,8,30,1
1,5,51,1,2000,8,30,1
2,5,29,1,2000,9,13,1
1,5,51,1,2000,9,14,1
1,5,48,1,2000,9,27,1
2,5,51,1,2000,10,10,1
